Product,Batch no.,PO,Line,Mill,RFT-ext.,RFT-Mill,Dosing,Suggestion Side feed,HT1,HT2,HT3,HT4,HT5,Screw speed,Torque,Outlet temp,Throughput ext.(kg/h),Feed,Sep.,Rotor,Air flow,Inlet temp.,Outlet temp.,FG. temp.,Throughput mill (kg/h)
P20293AN,3B14002008,P3B140109300,9,9,,,20,,63,80,78,,,500,47,,209.8225765,10,1200,3645,60,,,,682.1705426
JN049TH,3B13359003,P3B140202200,1,2,/,,0,,,,,,,,,,972,400,250,2800,98,,,,288
P50185AN,3B14002011,P3B140203800,2,3,,,0,20,31,55,79,99,100,500,54,,,400,1200,2800,65,,,,220.9513182
LA005TH,3B13359006,P3B140300900,7,10,/,/,0,22,32,50,80,81,80,650,53,,1008,600,380,3000,958,,,,617.1584617
GZ301TH,3B13361009,P3B140301600,8,13,/,/,0,15,31,50,61,80,85,650,45,,358.2089552,10,1000,3645,60,,,,214.5539067
GN150TH,3B14007005,P3B140303900,3,4,,/,0,12,30,49,81,80,79,650,37,,196.4231585,,,,,,,,0
GM100TH,3B14007008,P3B140304100,3,4,,/,0,25,30,47,85,85,79,650,46,,0,500,1100,2800,65,,,,0
SN211PA,3B14005001,P3B140401400,3,4,/,/,0,10,30,51,81,84,80,500,29,,169.2477876,300,1180,2800,65,,,,66.71876744
SN211PB,3B14005002,P3B140401500,3,4,/,/,0,15,31,47,76,81,80,650,39,,114.6953405,300,980,2800,65,,,,111.6827017
JA004TH,3B14007013,P3B140402000,7,10,/,/,0,22,32,49,84,83,77,650,50,,1165.333333,600,440,2800,98,,,,600
GN212PA,3B14008003,P3B140402100,3,4,/,/,0,11,30,51,80,81,80,650,22,,159.3927894,350,1250,2800,65,,,,0
GN212PB,3B14008004,P3B140402200,3,4,/,,0,12,31,50,81,82,80,650,29,,878.5589773,500,1050,3000,65,,,,80.42553191
P70811BN,3B14008029,P3B140403100,11,14,/,,0,,,,,,,,,,560,10,1240,3757,60,,,,1478.6081
GI216PA,3B14009003,P3B140403300,3,4,/,/,0,20,30,51,81,79,80,500,46,,0,400,1010,2800,65,,,,53.23157644
